,2020.6.30,2019.12.31,2018.12.31,2017.12.31
流动资产,,,,
货币资金,104723439,66971203,69880563,32805401
拆出资金,807353,884797,0,0
交易性金融资产,6963519,9041357,11356158,11991007
衍生金融资产,106464,89377,0,0
应收账款,14613456,13120156,7704952,4091321
预付款项,189653,588399,568702,357255
应收保费,311883,331175,16706,65405
应收分保账款,93457,71750,86795,82475
应收分保合同准备金,98744,65364,59457,65027
发放贷款和垫款,36242154,37511392,32746436,25634223
其他应收款,2964785,2635617,1805510,3615892
买入返售金融资产,11800,86000,191954,93980
一年内到期的非流动资产,23567,22444,20612,23992
其他流动资产,7358988,7819792,6970848,12718958
流动资产合计,174509262,139238823,131408693,91544936
非流动资产,,,,
衍生金融资产,368508,367712,203021,266772
债权投资,0,0,6449266,0
其他债权投资,5931736,142784,0,0
长期股权投资,26549158,26797175,23795950,24156516
其他权益工具投资,34047747,33692394,33307883,1069990
其他非流动金融资产,41511497,38344557,26180068,7346245
固定资产,5575833,5835592,2166456,1273919
在建工程,1900851,1723029,3344403,2681177
使用权资产,439375,451139,386660,392014
无形资产,14872685,15042456,1356863,1365688
商誉,5141718,5309196,1894931,1626900
长期待摊费用,651789,719826,690910,131797
递延所得税资产,796377,1241043,2057211,846165
其他非流动资产,3601434,2652046,3906096,1027646
非流动资产合计,141388708,132318949,105739718,42184829
资产总计,315897970,271557772,237148411,133729765
流动负债,,,,
短期借款,21845000,14600000,40890000,20061315
交易性金融负债,309958,388454,121068,191754
衍生金融负债,167069,320157,113653,254659
应付账款,18584700,18376180,16167268,11679542
预收款项,67607,99939,103705,282209
合同负债,3047128,2488163,1526261,0
卖出回购金融资产款,254979,289085,0,0
应付客户备付金,18197608,14621914,6869287,5834251
应付职工薪酬,2554593,3414135,2691131,1570925
应交税费,2832216,2229793,1643042,2512521
其他应付款,17770461,8481772,5710191,3750168
应付分保账款,138808,81336,81666,66557
保险合同准备金,1211518,1087528,1088007,595030
一年内到期的非流动负债,259423,246334,226144,3417143
其他流动负债,3876098,4272285,5753765,9944915
流动负债合计,91117166,70997075,82985188,60160989
非流动负债,,,,
保险合同准备金,329792,312430,131142,79032
长期借款,7766176,8039875,0,7882577
租赁负债,176346,215132,162771,191557
长期应付款,697359,726009,151842,33601
递延收益,10070,10164,10556,8691
递延所得税负债,171518,562729,34382,5659
其他非流动负债,698959,1126000,1289000,0
非流动负债合计,9850220,10992339,1779693,8201117
负债总计,100967386,81989414,84764881,68362106
所有者权益,,,,
股本,23778629,23524249,15761247,15000000
其他权益工具,69227306,69085961,68278095,0
资本公积,56112679,53356130,44605884,34350487
其他综合收益,7556389,6937168,5711294,147142
盈余公积,220406,220406,61318,42829
一般风险准备,6541937,6372357,6033625,3021394
未分配利润,44825908,23760991,7301567,9665220
归属于母公司所有者权益合计,208263254,183257262,147753030,62227072
少数股东权益,6667330,6311096,4630500,3140587
所有者权益合计,214930584,189568358,152383530,65367659
负债和所有者权益总计,315897970,271557772,237148411,133729765
