,2020.6.30,2019.6.30,2019.12.31,2018.12.31,2017.12.31
一、经营活动产生的现金流量,,,,,
收取服务费、利息及保费的现金,78042730,53371234,126866447,92249112,70330594
收到的其他与经营活动有关的现金,1895985,713445,2169826,2302603,878173
经营活动现金流入小计,79938715,54084679,129036273,94551715,71208767
接受服务支付的现金,32918846,32591452,69851612,46039985,29827532
发放贷款和垫款净增加额,538915,139156,6325282,9532906,1213172
支付保险合同赔付款项的现金,1459313,1480542,2951153,2402821,872386
支付给职工以及为职工支付的现金,6431766,5120532,9207553,6356820,4184564
支付的各项税费,5438712,3038381,6669154,6159483,4399227
支付的其他与经营活动有关的现金,6138543,10441975,16771577,43109274,14570717
经营活动现金流出小计,52926095,52812038,111776331,113601289,55067598
经营活动产生/(使用)的现金流量净额,27012620,1272641,17259942,-19049574,16141169
二、投资活动产生的现金流量,,,,,
收回投资收到的现金,10670639,13989054,25802007,39766263,11560787
取得投资收益收到的现金,1294888,373912,2038465,1740309,417063
处置固定资产、无形资产和其他长期资产收回的现金净额,4825,10429,46114,14535,18378
收购子公司取得的现金净额,0,0,0,0,28221
收到的其他与投资活动有关的现金,27559,1594075,1596249,1996125,177445
投资活动现金流入小计,11997911,15967470,29482835,43517232,12201894
购建固定资产、无形资产和其他长期资产支付的现金,274903,2355541,14945059,2944165,1373199
投资支付的现金,12694974,12984411,38836669,64866411,26780824
收购子公司支付的现金净额,96877,2990340,3020409,1208987,0
支付的其他与投资活动有关的现金,0,187276,187276,3049165,1275901
投资活动现金流出小计,13066754,18517568,56989413,72068728,29429924
投资活动使用的现金流量净额,-1068843,-2550098,-27506578,-28551496,-17228030
三、筹资活动产生的现金流量,,,,,
吸收投资收到的现金,277057,55976,12217238,76573288,0
其中：子公司吸收少数股东投资收到的现金,0,28145,86825,490000,0
取得借款所收到的现金,20145011,18400000,22537427,66860635,32168080
收到的其他与筹资活动有关的现金,88934,1721823,12839095,99600,2796000
筹资活动现金流入小计,20511002,20177799,47593760,143533523,34964080
偿还债务支付的现金,13260011,24204264,40903764,56831421,16943536
分配股利、利润或偿付利息支付的现金,1093501,844132,1637332,1606711,1590781
其中：子公司支付给少数股东的股利、利润,339918,0,0,0,525867
支付其他与筹资活动有关的现金,578439,386305,1180087,12250833,6084413
筹资活动现金流出小计,14931951,25434701,43721183,70688965,24618730
筹资活动产生/(使用)的现金流量净额,5579051,-5256902,3872577,72844558,10345350
四、汇率变动对现金及现金等价物的影响,123202,24310,140678,379332,-37616
五、现金及现金等价物增加/（减少）额,31646030,-6510049,-6233381,25622820,9220873
加：期/年初现金及现金等价物余额,39767024,46000405,46000405,20377585,11156712
六、期/年末现金及现金等价物余额,71413054,39490356,39767024,46000405,20377585
