,2020.6.30,2019.6.30,2019.12.31,2018.12.31,2017.12.31
营业收入,72528345,52540056,120618372,85722344,65395920
减：营业成本,30044345,28135979,60515170,40909334,23725610
税金及附加,430892,218347,632090,435261,376696
销售费用,6066496,10425776,18050292,47345402,15324685
管理费用,3248056,3916896,9346894,4582201,7916046
研发费用,5719950,4658568,10605456,6903324,4789332
财务费用,-548556,72397,-44758,-158311,180507
其中：利息费用,440719,626983,1251801,816892,291623
利息收入,1034197,665844,1419738,971283,160846
提取保险合同准备金净额,37742,358020,222129,172289,49735
加：其他收益,318706,210883,1234449,808048,748358
投资收益/(损失),126020,68480,-783339,22832534,-1747635
其中：对联营企业和合营企业的投资损失,-1027171,-1245238,-3109972,-1525851,-2094275
以摊余成本计量的金融资产终止确认收益,0,0,156449,17,0
公允价值变动(损失)/收益,-3028433,-739053,1112181,-5589473,-1971074
信用减值损失,-45449,-122528,-296999,-29346,-162502
资产减值(损失)/转回,-162503,-104550,-177887,-42028,1199255
资产处置收益,3297,8566,21349,12964,1493
营业利润,24741058,4075871,22400853,3525543,11101204
加：营业外收入,3027,1413,7508,11900,10055
减：营业外支出,324895,1059787,1355958,423325,163148
利润总额,24419190,3017497,21052403,3114118,10948111
减：所得税费用,2495814,1125243,2980482,957999,2743368
净利润,21923376,1892254,18071921,2156119,8204743
按经营持续性分类,,,,,
持续经营净利润,21923376,1892254,18071921,2156119,8204743
按所有权归属分类,,,,,
归属于母公司所有者的净利润,21234497,1361404,16957244,667067,6951254
少数股东损益,688879,530850,1114677,1489052,1253489
其他综合收益的税后净额,625165,-349400,1208345,5564152,-314384
归属于母公司所有者的其他综合收益的税后净额,619221,-349416,1225874,5564152,-321234
不能重分类进损益的其他综合收益,,,,,
其他权益工具投资公允价值变动,-52596,0,-63946,2926032,0
外币财务报表折算差额,882245,-58148,1069216,2556309,0
将重分类进损益的其他综合收益,,,,,
权益法下可转损益的其他综合收益,-195574,-320124,-520672,-25534,103072
其他债权投资公允价值变动,247,0,1532,0,0
可供出售金融资产公允价值变动损益,0,0,0,0,-18964
其他债权投资信用减值准备,4686,0,0,0,0
现金流量套期储备,3043,27439,11286,-32362,12632
外币财务报表折算差额,-22830,1417,728458,139707,-417974
归属于少数股东的其他综合收益的税后净额,5944,16,-17529,0,6850
综合收益总额,22548541,1542854,19280266,7720271,7890359
其中：,,,,,
归属于母公司所有者的综合收益总额,21853718,1011988,18183118,6231219,6630020
归属于少数股东的综合收益总额,694823,530866,1097148,1489052,1260339
每股收益（人民币元）,,,,,
基本每股收益,0.8,0.08,0.85,0.04,0.46
稀释每股收益,0.8,0.08,0.85,0.04,0.46
