,2020.6.30,2019.12.31,2018.12.31,2017.12.31
流动资产,,,,
货币资金,0.33151032594479796,0.24661862007028104,0.2946701717516463,0.24531113922169834
拆出资金,0.002555739753566634,0.003258227497904203,0.0,0.0
交易性金融资产,0.022043569953931644,0.033294414420221415,0.04788629176182842,0.08966595432213614
衍生金融资产,0.00033702020940495436,0.00032912701905655643,0.0,0.0
应收账款,0.04626005035739862,0.04831441907691009,0.03249000053388509,0.030593944437126618
预付款项,0.0006003615661094625,0.002166754409813025,0.002398084800998308,0.002671469586445471
应收保费,0.0009872902950278535,0.0012195379184360077,7.04453381304756e-05,0.0004890833390756352
应收分保账款,0.00029584552252741607,0.0002642163377301534,0.0003659944405024919,0.0006167288187487655
应收分保合同准备金,0.000312581939035569,0.0002407001630577526,0.0002507164174083376,0.000486256743216441
发放贷款和垫款,0.11472740391462471,0.13813411313449722,0.13808414680880995,0.1916867422895718
其他应收款,0.00938526132345833,0.009705548033440191,0.00761341808020801,0.027038797234108652
买入返售金融资产,3.735383294802433e-05,0.0003166913595093128,0.0008094256216627148,0.0007027605260504272
一年内到期的非流动资产,7.460320178695672e-05,8.264907991659321e-05,8.691603672604832e-05,0.0001794065816237694
其他流动资产,0.02329545834055217,0.028796053018140096,0.02939445375410928,0.09510940215889858
流动资产合计,0.5524228661551703,0.5127410715389137,0.5541200653459154,0.6845516852587006
非流动资产,,,,
衍生金融资产,0.0011665412094924194,0.0013540838742777724,0.0008560926010168376,0.0019948588109760007
债权投资,0.0,0.0,0.02719506309489883,0.0
其他债权投资,0.01877737929116797,0.0005257960357695084,0.0,0.0
长期股权投资,0.08404345871548335,0.09867946257859267,0.10034201747191973,0.18063679391046564
其他权益工具投资,0.1077808350588641,0.12407081466259784,0.14045163895279061,0.008001135723225118
其他非流动金融资产,0.13140792579325533,0.14120220797805044,0.1103952916640036,0.054933507136575015
固定资产,0.017650740205769604,0.02148932051187988,0.00913544388033028,0.009526069233726687
在建工程,0.006017294128227542,0.006344981354464788,0.014102573936284987,0.02004921641790068
使用权资产,0.0013908763009778126,0.0016613002702054868,0.0016304557908254338,0.0029313892834553325
无形资产,0.04708066025242264,0.05539320745347697,0.005721577447128668,0.010212296417330876
商誉,0.01627651485066523,0.019550889524900063,0.007990485755352585,0.012165578844769525
长期待摊费用,0.002063289612149138,0.0026507287738389606,0.0029134076719577935,0.0009855472340058325
递延所得税资产,0.0025209943577668447,0.0045700883125525124,0.008674782982206024,0.006327424564007871
其他非流动资产,0.011400624068587715,0.009766047130479476,0.01647110340536922,0.007684497164860792
非流动资产合计,0.4475771338448297,0.48725892846108637,0.4458799346540846,0.31544831474129936
资产总计,1.0,1.0,1.0,1.0
短期借款,0.06915207463979588,0.05376388196320892,0.17242367270173276,0.15001383573806473
交易性金融负债,0.000981196555330824,0.0014304654112422162,0.0005105157546259081,0.0014338916994283209
衍生金融负债,0.00052887012854182,0.0011789645998421287,0.00047924841461408736,0.001904280621445794
应付账款,0.05883133721941929,0.06766950496264934,0.06817362988782581,0.08733689167852796
预收款项,0.00021401530373873565,0.00036802113695350247,0.000437299999450555,0.0021102930974267395
合同负债,0.00964592460027521,0.009162554920357793,0.00643588963368597,0.0
卖出回购金融资产款,0.0008071561840046012,0.0010645432751598802,0.0,0.0
应付客户备付金,0.0576059668886128,0.0538445793405611,0.02896619450678082,0.04362716856639956
应付职工薪酬,0.008086766116287484,0.012572407612771253,0.01134787700517209,0.011747010846837276
应交税费,0.008965603672603531,0.008211118332492431,0.0069283281008364,0.01878804617655613
其他应付款,0.05625379928842215,0.031233766345674686,0.024078554757847398,0.028042881852069358
应付分保账款,0.00043940769863130174,0.00029951637694243565,0.00034436663377010777,0.0004976977264560361
保险合同准备金,0.0038351560157224183,0.0040047758235400455,0.004587873877847742,0.004449495592847262
一年内到期的非流动负债,0.0008212240173623148,0.0009071145273647333,0.0009535969439828969,0.025552598555751593
其他流动负债,0.012270094676455186,0.01573250866117726,0.024262296237776603,0.07436575544718858
流动负债合计,0.2884385930052035,0.26144372328993776,0.34992934445594914,0.4498698475989994
非流动负债,,,,
保险合同准备金,0.001043982650474139,0.0011505102494359838,0.0005529954826473621,0.0005909828675762647
长期借款,0.02458444414821659,0.029606499349243445,0.0,0.05894407277243028
租赁负债,0.0005582372055129066,0.0007922144831855522,0.0006863676602918499,0.0014324185793641378
长期应付款,0.0022075450500679064,0.0026734974096046128,0.0006402825950202129,0.000251260443028521
递延收益,3.187738116835635e-05,3.742849974479832e-05,4.451221054144023e-05,6.49892714609945e-05
递延所得税负债,0.0005429537897948505,0.002072225721457164,0.00014498094191320557,4.231668245285558e-05
其他非流动负债,0.0022126099765693336,0.00414644733497077,0.005435414871913268,0.0
非流动负债合计,0.031181650201804082,0.040478823047642325,0.007504553762327338,0.061326040616313054
负债总计,0.3196202432070076,0.30192254633758003,0.3574338982182765,0.5111958882153125
所有者权益,,,,
股本,0.07527313011856328,0.0866270511307627,0.06646153323793512,0.1121665023489722
其他权益工具,0.2191445104886239,0.2544061268848531,0.28791293482459807,0.0
资本公积,0.17762912183322987,0.19648169009134453,0.18809269609653848,0.2568649320515893
其他综合收益,0.023920346813244796,0.025545827500750008,0.02408320585373857,0.001100293565908831
